"{""Objective"":""Generate an ultra-realistic street-fashion portrait of a young man walking confidently outdoors based on the provided reference image."",""Scene_Description"":{""Environment"":{""Setting"":""Wet pavement near a modern café"",""Background"":{""Style"":""Blurred urban environment"",""Elements"":[""Palm tree"",""Orange and black road barriers"",""Soft urban structures""]},""Lighting"":{""Type"":""Warm natural sunlight"",""Effects"":[""Crisp shadows"",""Golden highlights on clothing and hair"",""Instagram-style warm color mood""]},""Atmosphere"":""Casual, stylish, modern street fashion""},""Subject"":{""Identity"":""Maintain facial features consistent with the provided reference image"",""Appearance"":{""Hair"":""Stylish, slightly messy natural hairstyle"",""Expression"":""Calm, confident""},""Pose"":{""Action"":""Walking confidently on wet pavement"",""Hands"":""Partially in pockets"",""Body_Language"":""Relaxed yet assured, modern fashion posture""}}},""Wardrobe"":{""Outfit"":{""Jacket"":""Beige jacket"",""Shirt"":""White T-shirt"",""Pants"":""Baggy olive jeans"",""Footwear"":""White sneakers""}},""Visual_Style"":{""Aesthetic"":""Instagram-style street fashion"",""Quality"":""Ultra-realistic with sharp details"",""Color_Profile"":""Warm sunlight tones with soft urban contrast"",""Detail_Characteristics"":[""Realistic fabric texture"",""Wet pavement reflections"",""Cinematic blur and depth"",""High clarity in subject’s face and clothing""]},""Output_Requirements"":{""Format"":""Image"",""Quality"":""High-detail, photorealistic, street-fashion editorial""}}",Image Generation / Fashion Photography
"{""objective"":""Generate an image based on a detailed character portrait description."",""image_generation_prompt"":{""subject"":{""gender"":""female"",""portrait_type"":""close-up"",""angle"":""side angle"",""aesthetic"":""edgy, modern, mysterious, confident, slightly provocative""},""appearance"":{""hair"":{""color"":""light gray"",""length"":""short"",""texture"":""wavy"",""style"":""modern, slightly messy, partially covering forehead""},""face"":{""skin_tone"":""fair"",""features"":""sharp"",""eyebrows"":""straight, neat, dark"",""lips"":""naturally pink with a slight sheen""},""expression"":""calm but intense""},""clothing_and_accessories"":{""headwear"":""black bandana with white swirl patterns"",""outfit"":{""jacket"":""black zip-up jacket, left open"",""inner_shirt"":""black T-shirt with green and red graphic art on the chest""},""jewelry"":{""neck"":""thin silver chain"",""ear"":""small silver earring""}},""lighting_and_background"":{""lighting"":""front light highlighting facial features and outfit"",""background"":""bright blue sky""},""style"":{""vibe"":""striking and stylish"",""focus"":""expression and trendy fashion details"",""mood"":""modern and edgy""},""aspect_ratio"":""3:4""},""response_format"":""Use this JSON object as the structure for an image generation model prompt.""}",Text Generation / Image Generation Prompt JSON
"{""label"":""direct-flash-gamer-girl"",""tags"":[""direct-flash"",""retro-gamer-room"",""90s-photography"",""film-aesthetic"",""gamer-girl"",""collectibles-shelf"",""low-angle"",""sitting-pose""],""CompositionalPortrait"":1,""Style"":[""direct-flash-photography-3"",""80s-90s-club-photo-2"",""warm-film-tone-2"",""documentary-candid-style-2""],""Subject"":[""young woman in her early 20s with fair skin and soft natural features"",""long dark hair styled in two loose braids with subtle flyaways for realism"",""wearing a fitted white cotton camisole top with thin straps and matching high-waisted white shorts"",""minimal natural makeup with a soft pink tint on cheeks and lips"",""eyes looking directly into the camera with a calm, intimate, slightly teasing expression"",""seated cross-legged on a couch, holding a game controller naturally in both hands""],""MadeOutOf"":[""white cotton camisole top"",""white high-waisted shorts"",""black over-ear gaming headphones"",""black wireless controller"",""small plush Pikachu toy placed beside her on the couch"",""red textured pillow behind her""],""Arrangement"":""subject sits centered on a worn retro couch in a relaxed cross-leg position, holding the controller naturally with both hands; direct flash highlights her face and the texture of her outfit, while the surrounding collectible shelves create depth and visual clutter in the background."",""Accessories"":[""retro gaming consoles stacked on shelves"",""boxed action figures and collectible toys in various sizes"",""soft plush Pikachu next to the subject"",""gaming headset cable draped naturally across her shoulder""],""Background"":""a dimly lit retro gamer room filled with densely packed shelves of action figures, boxed toys, handheld consoles, and vintage game cases; warm tungsten floor lamp providing ambient background glow; slight shadow falloff caused by the direct flash illuminating the foreground more prominently."",""RoomObjects"":[""crowded black shelving full of collectible action figures"",""vintage CRT monitor partially visible on lower shelf"",""floor lamp with soft warm bulb"",""stuffed toys in the corner of the couch"",""assorted retro controllers scattered near the subject""],""ColorRestriction"":[""overall palette grounded in warm tungsten tones"",""subject outfit remains clean white for contrast"",""background shelves maintain mixed reds, blacks, and muted neons from toy packaging"",""flash introduces slightly cooler highlights on skin and fabric""],""Lighting"":""strong direct on-camera flash aimed straight at the subject, creating bold highlights on the face and clothing; shadows cast sharply behind objects; ambient tungsten lamp in the background adds warm separation light; overall high contrast with slight film-like grain."",""Camera"":{""type"":""digital rangefinder or compact mirrorless emulating film aesthetic"",""lens"":""35mm equivalent prime lens"",""aperture"":""f/2.0"",""iso"":""400–800"",""shutter_speed"":""1/125–1/200"",""flash"":""direct on-camera flash, high intensity"",""angle"":""slightly low eye-level perspective"",""focus"":""sharp on face and upper torso, background clearly readable but secondary""},""OutputStyle"":""photorealistic direct-flash snapshot with bold contrast, visible texture on skin and hair, subtle film grain, warm shadows, slightly saturated toy packaging, and a nostalgic 80s–90s indoor photo aesthetic."",""Mood"":""intimate, playful, nostalgic, confidently casual with a strong gamer-at-home vibe""}",Image Generation / Retro-style Direct Flash Portrait
"{""image_generation_prompt"":{""subject"":{""description"":""Young woman with long brown hair"",""pose"":""Leaning gently on car window, resting head on one hand, relaxed and confident"",""action"":""Taking a selfie in the side mirror reflection""},""clothing"":{""top"":""Simple white turtleneck long-sleeve top"",""accessories"":""Minimalist stud earrings""},""props"":{""item"":""iPhone 16 Pro Max"",""details"":""Realistic proportions, accurate lens design, held in hand""},""environment"":{""location"":""Outdoors, reflected in the side mirror of a black Toyota Land Cruiser"",""background"":""Trees and orange-blue evening sky"",""depth_of_field"":""Subtly blurred background for depth (bokeh)""},""lighting"":{""type"":""Golden hour"",""characteristics"":""Warm sunlight, soft natural glow, evening light, realistic shadows""},""style"":{""aesthetic"":""Natural, ultra-realistic, minimalist, Instagram style"",""quality"":""8k resolution, highly detailed, sharp focus, cinematic photography""},""technical_constraints"":{""perspective"":""Accurate mirror reflection, correct optical orientation"",""distortion_control"":""No exaggeration or distortion of features or phone""}},""negative_prompt"":""cartoon, illustration, painting, drawing, bad anatomy, disfigured, deformed, blurry face, low quality, pixelated, unnatural lighting, distorted phone, wrong reflection angle, extra fingers, messy hair, heavy makeup, text, watermark""}",Image Generation / Naturalistic Car Mirror Selfie
"{""prompt"":""A stunningly beautiful young woman with long, straight **platinum blonde hair and bangs**, featuring piercing **blue eyes**. She wears a highly detailed, avant-garde outfit inspired by a chess board and playing cards: a fitted dress or corset with a **glossy, metallic iridescent teal and white/silver checkered pattern** layered over a sheer, futuristic bodysuit. The garment has elaborate **baroque gold filigree armor plating** on the shoulders and bodice. Her makeup is sharp and dramatic, with deep red lips and winged eyeliner. On the side of her head, she has an elaborate hair accessory made of fanned-out, antique-style **playing cards (hearts and spades)** hanging with gold chains and jewels. She is wearing long white gloves with gold accents, showing off hands with long, **bright red nail polish**. She is posing intimately with a large, intricately carved **ram's skull and skeletal structure** that acts as an elaborate, jeweled prop. The skull has large, spiraling horns and is inlaid with mother-of-pearl and small jewels. The background is dark and moody, featuring a faint, large black and white checkered floor (suggesting a chessboard) and soft, delicate white flowers in the foreground. **Hyper-detailed, realistic, cinematic lighting, octane render, 8k, dramatic shadows, photorealistic texture.**"",""negative_prompt"":""Anime, cartoon, drawing, sketch, 3D render, poorly drawn hands, low resolution, blurry, distorted, watermark, signature, text, out of frame, extra limbs, multiple heads, green hair, non-human, fantasy ears, horns on character, bad anatomy, ugly"",""style"":[""photorealistic"",""cinematic lighting"",""high detail""],""aspect_ratio"":""3:4""}",Image Generation / Fantasy Fashion Portrait
"{""description"":""A 4 grid layout showing four different photographs."",""Image Ratio"":""1:1"",""style"":{""type"":""photograph"",""visual_style"":""Realistic, candid street style photography with natural daylight."",""lighting"":""Soft, natural daylight, creating realistic shadows and highlights."",""background"":""Blurred urban environment, like a city street or park, to keep the focus on the subject."",""reference_image"":""1000484277.jpg""},""subject"":{""description"":""A real-life young woman with dark brown hair in a high ponytail, resembling the character from the reference image. She is wearing a grey t-shirt, an open pink jacket, blue denim shorts, and pink and white sneakers.""},""content"":[{""grid_position"":""top-left"",""pose"":""A full-body shot of her mid-stride, laughing, with a natural, joyful expression.""},{""grid_position"":""top-right"",""pose"":""A candid portrait of her sitting on a bench, looking thoughtfully to the side with one hand near her chin.""},{""grid_position"":""bottom-left"",""pose"":""A medium shot of her standing and waving with a warm, friendly smile, looking directly at the camera.""},{""grid_position"":""bottom-right"",""pose"":""A close-up portrait capturing a surprised or amused expression, with hands casually raised near her face.""}]}",Image Generation / Multi-photo Grid Layout
"{""subject"":{""type"":""the person from the reference photo ONLY"",""identity_restriction"":""Do NOT use any traits, gender, clothing or body features from previous prompts. Use ONLY the face, body type, and identity from the reference photo."",""pose"":""sitting on a wooden market bench with knees pulled up and arms wrapped around them, giving a cheerful wink"",""expression"":""warm, festive, friendly""},""appearance"":{""match_reference"":""Facial structure, hairstyle, and overall appearance must EXACTLY match the reference photo"",""hair"":""same hairstyle as reference photo"",""clothing"":{""style"":""winter outfit inspired by reference, adapted for Christmas market"",""top"":""cozy winter jacket or sweater (match reference photo colors if possible)"",""bottom"":""neutral comfortable pants or shorts depending on reference"",""socks"":""winter socks"",""shoes"":""winter boots""}},""environment"":{""setting"":""outdoor Christmas market"",""details"":""twinkle lights, wooden stalls, warm hanging lanterns""},""lighting"":{""type"":""warm golden fairy-light glow"",""mood"":""cozy, festive, romantic""},""camera"":{""angle"":""low-to-mid angle"",""lens_effect"":""slight wide-angle with warm bloom"",""framing"":""subject centered among Christmas lights""},""art_overlay"":{""style"":""maximalist Christmas sweets-monster pop-art"",""illustrated_elements"":{""monsters"":""gingerbread goblins, candy-cane worms, snowball blob creatures, hot-cocoa monsters with melting marshmallow faces, cookie reindeer, tiny ornament gremlins, eggnog ghosts, fruitcake beasts"",""graphic_shapes"":""neon stars, snowflakes, sparkles, swirls, drips, zigzags, holly leaves, ribbon curls, comic bursts without text"",""style"":""flat neon holiday palette (red, green, gold, icy blue, pink, lime) with thick black outlines""},""placement_and_density"":{""behind_subject"":""background filled with overlapping Christmas monsters and shapes"",""around_subject"":""monsters peeking from behind shoulders, around boots, near hair, above the bench"",""over_clothing"":""some gingerbread creatures cling to clothing"",""avoid_skin"":""face and hands remain fully photorealistic"",""depth_layers"":""heavy layering front and back for strong pop-art depth"",""energy_effects"":""glowing rim lights, falling stylized snow, neon speed lines""}},""style"":{""overall"":""cozy Christmas market portrait overwhelmed by neon festive monsters"",""aesthetic"":""warm, chaotic, holiday-playful, surreal""}}",Image Generation / Festive Pop-Art Portrait
"{""image_generation"":{""requirements"":{""face_preservation"":{""preserve_original"":true,""accuracy_level"":""100% identical to reference"",""details"":[""real facial proportions"",""exact skin texture"",""true eye shape and color"",""natural soft makeup"",""subtle upward eyeliner"",""soft pink eyeshadow"",""natural rosy lips""]},""pose"":{""match_reference_pose"":true,""description"":""Chest-up portrait, face facing forward but gently tilted to the right from the viewer’s perspective.""},""lighting"":{""match_reference_lighting"":true,""type"":""soft diffused indoor lighting"",""direction"":""from the front and slightly from the left"",""shadows"":""gentle soft shadows on the sides of the face and neck"",""background_tone"":""soft neutral with slight bluish tint""}},""subject"":{""gender"":""female"",""hairstyle"":{""match_reference"":true,""description"":""same exact hairstyle as in reference image""},""expression"":""neutral, slightly thoughtful"",""clothing"":{""top"":""simple black T-shirt"",""necklace"":""thin silver necklace with a small minimal pendant""}},""composition"":{""frame"":""chest-up portrait"",""orientation"":""frontal with slight rightward tilt"",""style"":""hyper-realistic with split real/cartoon effect""},""special_effects"":{""split_effect"":{""type"":""irregular centered tear"",""edges"":""white angled torn-paper look"",""description"":""image appears ripped down the middle""},""realistic_side"":{""background"":""soft, neutral, slightly bluish environment"",""filters"":[""soft analog grain"",""lightly aged texture"",""reduced saturation"",""subtle film imperfections""],""overlays"":[""blue stylized teardrop stickers below the left eye"",""small 'Zzz' sleep symbols near forehead"",""yellow crescent moon in upper-left corner"",""light blue hand-drawn cloud""]},""illustrated_side"":{""art_style"":""bold cartoon, digital illustration"",""color_palette"":""bright, vibrant, saturated"",""hair"":""same tone as realistic side but stylized"",""eyes"":""exaggerated eyeliner, dramatic expression"",""background"":""vibrant light pink pop-art style"",""decorations"":{""kawaii_elements"":[""Hello Kitty holding a microphone"",""pixel-art pink mascot character"",""yellow stars"",""pink hearts"",""colorful planets"",""bold pink Japanese characters""]}}},""aesthetic"":{""overall_tone"":""soft, dreamy, lightly vintage"",""lighting_consistency"":""must match reference perfectly"",""skin_texture_realism"":""high"",""blending_quality"":""smooth, natural transition between real and illustrated halves with crisp tear edge""},""output"":{""style"":""hyper-realistic + digital cartoon fusion"",""quality"":""ultra-high-resolution"",""filters"":[""subtle analog vintage film filter"",""soft grain""]}}}",Image Generation / Hybrid Photorealistic Cartoon Portrait
"{""intent"":""Generate a photorealistic, high-fidelity mirror selfie of an Eastern European woman with natural features performing an athletic pose in a disordered bedroom."",""frame"":{""aspect_ratio"":""9:16 vertical"",""composition"":""Full-body vertical framing suitable for social media stories, centering the subject's standing split reflection amidst domestic clutter."",""style_mode"":""raw_lifestyle, next_gen_mobile_photography, authentic_portraiture""},""subject"":{""identity"":""A young woman of Eastern European descent, characterized by effortless, natural beauty. She possesses high cheekbones, fair skin with visible natural texture, and soft facial features."",""hair"":""Naturally textured, voluminous, and slightly frizzy hair worn loose, appearing unstyled and authentically messy."",""wardrobe"":""A loose-fitting, comfortable t-shirt featuring a cute, centered graphic illustration (such as a character or mascot). She wears simple black athletic shorts."",""makeup"":""Bare-faced aesthetic with no visible makeup. The skin shows natural imperfections, freckles, and a healthy, unenhanced complexion, contrasting with the previous glamour style."",""pose"":""The subject performs a vertical standing split in the mirror, balancing on one leg while the other extends straight up towards the top of the door frame. She holds an iPhone 17 Pro Max in one hand to capture the shot."",""interaction"":""The subject's expression is relaxed and genuine, reflecting a casual, private moment of flexibility practice.""},""environment"":{""location"":""A chaotic, lived-in personal bedroom."",""architecture"":""Standard residential interior with white walls and a white door frame."",""props_and_details"":""The background is untidy and realistic, featuring clothes strewn across the floor, an unmade bed with rumpled sheets, and general personal clutter on surfaces, reinforcing the candid nature of the image."",""atmosphere"":""Casual, domestic, and unfiltered.""},""lighting"":{""type"":""Naturalistic mixed lighting."",""source"":""Soft daylight filtering through a window combined with ambient room lighting."",""color_temperature"":""Neutral to slightly warm (approx. 4500K), rendering skin tones accurately without artificial color casts."",""shadows"":""Soft, natural shadows falling across the room's clutter, with no dramatic or theatrical contrast."",""contrast"":""Balanced and life-like, preserving detail in both the bright highlights of the phone reflection and the darker areas of the messy room.""},""camera"":{""sensor_format"":""Simulated next-generation mobile sensor (iPhone 17 Pro Max profile)."",""lens"":""24mm equivalent wide-angle main lens."",""aperture_depth_of_field"":""f/1.8 simulation, keeping the subject in sharp focus while allowing the messy background to fall slightly out of focus."",""camera_position"":""Handheld at eye level relative to the mirror."",""shutter_speed"":""1/100s, sharp and crisp."",""iso"":""ISO 100, clean and noise-free image quality.""},""negative"":{""content"":""No heavy makeup, no lipstick, no eyeliner, no contouring, no studio lighting, no tidy room, no minimalist background, no denim."",""style"":""No airbrushing, no glamour filter, no plastic skin, no over-editing, no artificial smoothness.""}}",Image Generation / Authentic Mirror Selfie Lifestyle
"{""image_description"":""A medium close-up cinematic still from the movie 'Blade Runner 2049'. Inside a futuristic vehicle, a man and a woman are seated. The man, Ryan Gosling as Officer K, is in the driver's seat in the foreground, wearing a dark, heavy, shearling-lined coat. He has a beard and looks pensively to the side. The woman, Ana de Armas as Joi, is in the passenger seat, looking towards the man. She wears a distinctive, translucent yellow and black jacket with a digital, pixelated pattern that catches the light. The interior of the car is dark and utilitarian. Rain streaks are visible on the window between them, blurring the grey, overcast landscape outside. The lighting is diffused and moody."",""characters"":[{""name"":""Man (Officer K)"",""actor"":""Ryan Gosling"",""position"":""Foreground, Driver's seat"",""clothing"":""Dark shearling-lined coat"",""appearance"":""Bearded, pensive expression, looking away"",""focus"":""Sharp focus""},{""name"":""Woman (Joi)"",""actor"":""Ana de Armas"",""position"":""Mid-ground, Passenger seat"",""clothing"":""Translucent yellow and black digital-pattern jacket"",""appearance"":""Looking at the man, dark hair"",""focus"":""Slightly softer focus through the window""}],""setting"":{""location"":""Futuristic Car Interior"",""environment"":""Rainy, overcast outdoors visible through the window""},""cinematography"":{""angle"":""Eye-level"",""lighting"":""Soft, diffused, natural daylight from outside"",""mood"":""Contemplative, melancholic, futuristic"",""color_grading"":""Muted tones, cool color palette with pops of yellow""},""size"":""Medium Close-up (MCU)"",""format"":""Cinematic Still""}",Image Generation / Cinematic Movie Still
"{""prompt_details"":{""subject"":""Young woman"",""view"":""Side profile, extreme close-up"",""features"":{""hair"":""Dark, wet, naturally glued to the skin"",""eyes"":""Bright natural green/hazel, realistic reflection, avoiding excessive shine"",""lips"":""Moist, shiny, soft natural texture"",""skin_texture"":""Fine droplets of water, thin sweat glistening realistically""},""environment"":{""lighting"":""Soft lighting, cool shades"",""background"":""Light grey/white bokeh""},""style"":""Photorealistic, cinematic, 8k resolution, high fidelity""},""full_prompt"":""Extreme wet close-up portrait of a young woman in profile. Dark wet hair naturally glued to the skin. Fine droplets of water and thin sweat glistening realistically on her face. Focus on bright natural green/hazel eyes with realistic reflection, avoid excessive shine. Moist and shiny lips, soft natural texture. Soft lighting and cool shades with a light grey/white bokeh background. High detail, 8k, photorealistic."",""negative_prompt"":""cartoon, illustration, 3d render, drawing, painting, blurry, low quality, distorted features, dry skin, matte finish, excessive gloss on eyes, warm tones, harsh contrast, bad anatomy, plastic skin"",""image_reference_settings"":{""use_uploaded_image"":true,""strength"":0.75,""control_net"":""Canny or Depth (to maintain facial features)""}}",Image Generation / Extreme Close-up Portrait
"{""intent"":""Generate a hyper-idealized, 'Douyin-aesthetic' portrait of a young woman at night, utilizing direct flash photography to create a high-contrast, ethereal look with clear weather conditions."",""frame"":{""aspect_ratio"":""9:16"",""composition"":""Extreme close-up selfie framing (tighter than standard portrait), cutting off the top of the forehead to focus intensely on the eyes and lips. The subject is centered with a direct, confronting gaze."",""style_mode"":""Flash photography, digital influencer aesthetic, soft-focus realism.""},""subject"":{""identity"":""A young Asian woman, approximately 20 years old, with hyper-symmetrical, doll-like features characterized by the 'bunny tongue' and 'puppy eye' aesthetic."",""skin"":""Pale, cool-toned porcelain complexion with zero texture. The skin reflects the flash, creating a 'mochi' or 'glass skin' effect that appears soft and translucent. High-key brightness on the T-zone."",""eyes"":""Large, round eyes with a slight downward tint at the outer corners (puppy dog eyes). Prominent 'aegyosal' (under-eye fat bands) are highlighted to enhance youthfulness. The irises are soft brown with a large diameter. Eyelashes are styled in the 'manhwa' or 'idol' style: distinct, vertical clumps of mascara-coated lashes separated by space, rather than a dense fan."",""nose"":""Petite, low-bridge nose with a small, rounded tip. The lighting minimizes the nostril definition, making the nose appear delicate and unobtrusive."",""mouth"":""Heart-shaped lips featuring a 'gradient lip' technique. The center of the lips is a saturated, glossy strawberry pink, fading outward to a blurred, pale nude at the vermilion border. The texture is soft and hydrated."",""hair"":""Long, silky jet-black hair with a straight texture. Without the snow, the hair is dry, sleek, and tucked slightly behind the ears or framing the face smoothly, catching the flash with a white sheen."",""wardrobe"":""Minimal visibility, suggesting a stylish but casual top appropriate for a pleasant evening.""},""environment"":{""location"":""Urban night setting."",""weather"":""Clear, calm, and beautiful night weather. The atmosphere is clean and free of precipitation or fog."",""background"":""A backdrop of deep black shadows punctuated by creamy, circular bokeh from distant city lights (streetlamps, neon signs). The background is significantly darker than the subject, ensuring the face is the sole focus.""},""lighting"":{""type"":""Direct, frontal camera flash or high-intensity screen light."",""quality"":""Hard but flattering light that flattens facial topography, eliminating shadows under the eyes and nose. This creates a 2D, illustrative quality common in high-end social media selfies."",""contrast"":""High contrast between the brightly illuminated face and the pitch-black environment."",""catchlight"":""Sharp, tiny pinpoint reflection in the center of the pupils from the flash.""},""camera"":{""sensor_format"":""Smartphone main sensor simulation."",""lens"":""24mm wide-angle lens. This focal length slightly exaggerates the size of the eyes and diminishes the size of the nose and face width, contributing to the 'baby face' proportion."",""aperture_depth_of_field"":""f/1.8 to f/2.2, keeping the eyes and lips razor sharp while instantly blurring the ears and background."",""focus"":""Critical focus on the eyelashes and iris texture.""},""negative"":{""content"":""No snow, no rain, no wet hair, no masculine jawline, no skin texture, no pores, no heavy contouring, no western makeup style, no sunglasses, no hand near face."",""style"":""No cinematic dramatic shadows (must be flat lit), no warm vintage tones, no painting, no illustration.""}}",Image Generation / High-contrast Flash Portrait
"{""subject"":""beautiful young woman mirror selfie in Disney store"",""outfit"":""strapless white ruched mini dress, pearl necklace"",""headwear"":""fluffy orange Nick Wilde fox-ear hat with green eyes"",""phone"":""yellow iPhone"",""reflection_companion"":""life-size Judy Hopps police plush in uniform standing next to her"",""setting"":""bright Zootopia section, shelves packed with plushies, festive lights"",""style"":""playful wink, cute and flirty Disney selfie""}",Image Generation / Playful Disney Store Selfie
"{""image_description"":{""subject"":{""gender"":""female"",""pose"":{""description"":""sitting sideways on a cable-car bench, legs relaxed and slightly bent, one arm resting on her knee and the other gently supporting her posture"",""details"":""upright but relaxed posture, shoulders slightly turned toward the camera, natural soft smile, head tilted slightly downward while looking toward the camera""},""expression"":""warm, soft smile with relaxed eyes and natural facial expression"",""face"":{""preserve_original"":true,""reference_match"":true},""hair"":{""color"":""brown"",""style"":""loose, voluminous, slightly tousled with face-framing strands""},""clothing"":{""top"":{""type"":""fitted crop top"",""color"":""light grey"",""details"":""thin straps, casual athletic style""},""bottom"":{""type"":""loose sweatpants"",""color"":""light grey"",""details"":""comfortable, wide-legged fit""},""shoes"":{""type"":""white Adidas sneakers"",""details"":""black stripes, casual sporty style""},""accessories"":{""watch"":""white smartwatch on right wrist""}}},""environment"":{""setting"":""inside a cable car or gondola cabin"",""background"":[""lush green trees"",""forested landscape"",""hills in the distance"",""cable lines visible in the sky""],""lighting"":""soft natural daylight with warm golden-hour tones""},""aesthetic"":{""style"":""casual outdoor lifestyle portrait"",""vibe"":""fresh, relaxed, sunny, natural"",""color_palette"":[""greens"",""soft blues"",""light greys"",""warm skin tones""]},""camera"":{""shot_type"":""medium-full portrait"",""angle"":""slightly low angle, facing the subject directly"",""focus"":""sharp focus on subject, slightly softened background"",""lighting_effects"":""gentle sunlight glow on skin and clothing""}}}",Image Generation / Outdoor Lifestyle Portrait
"{""image_generation_specification"":{""meta_instructions"":{""modification_mode"":""Active"",""primary_directive"":""Change any facial details"",""image_type"":""Portrait""},""subject_definition"":{""demographics"":{""age_group"":""Teenage"",""gender"":""Girl""},""anatomy_and_features"":{""hair"":{""color"":""Dark brown"",""length"":""Long"",""texture"":[""Soft"",""Wavy""],""accessories"":{""item"":""Hair clip"",""theme"":""Sanrio Kuromi""}},""eyes"":{""brightness"":""Bright"",""eyewear_type"":""Contact lenses"",""iris_color"":""Blue-grey""},""skin"":{""complexion"":""Fair"",""undertone"":""Slightly pink toned"",""texture"":""Smooth"",""luminosity"":""Rosy glow""},""body_structure"":{""waist"":{""shape"":""Shapely"",""definition"":""Clear""}}},""fashion_and_apparel"":{""garments"":{""upper_body"":{""item"":""Crop top"",""color"":""Dark grey"",""strap_style"":""Spaghetti strap""}},""accessories"":{""waist_adornment"":{""item"":""Belt"",""type"":""Waist belt"",""material"":""Silver chain"",""decorative_elements"":{""type"":""Dangling charms"",""motif"":""Moon"",""purpose"":""Add to allure""}}}},""styling_and_grooming"":{""makeup"":{""color_palette"":""Light pink"",""features"":{""lashes"":{""length"":""Long""}}},""text_fragments"":{""incomplete_descriptor"":""thin and""}}}}}",Image Generation / Teen Fashion Portrait
"{""promptDetails"":{""description"":""A garage/workshop environment with the subject assembling a complex mechanical device, viewing a 3D exploded assembly diagram floating in space."",""styleTags"":[""Industrial"",""High Detail"",""Technical"",""Action Shot""]},""scene"":{""background"":{""setting"":""A cluttered but organized home workshop/garage bench"",""details"":""Pegboard tool wall in the background, organized small parts containers, a soldering iron station, wood grain of the workbench, metal shavings (subtly).""},""subject"":{""description"":""The person defined by `[UPLOADED IMAGE]`, wearing safety glasses or a work glove, deeply concentrated."",""pose"":""Leaning over the bench, holding a small component (e.g., a rotor or circuit board) with tweezers or a small screwdriver."",""focus"":""Hands, component, and the diagram are the sharpest elements.""}},""overlayObject"":{""type"":""3D Exploded View Assembly Hologram"",""relationshipToEnvironment"":""Hovering directly above the disassembled drone parts on the workbench."",""transform"":""A fully rendered, rotating 3D model of the device, clearly showing where the held component fits."",""surfaceInteraction"":""Bright, high-contrast yellow/orange vector lines with directional arrows and part numbering. It must look spatially correct."",""components"":{""partID"":""Rotor Mount (P/N: M24B)"",""instruction"":""Attach to Main Hub (Torque to 1.5 Nm)"",""position"":""Floating central to the workspace.""}},""technicalStyle"":{""aspectRatio"":""16:9"",""photographyStyle"":""Product/Technical, High Contrast"",""camera"":{""shotType"":""Close-Up"",""angle"":""Slightly overhead (designer/technical perspective)."",""depthOfField"":""Extremely shallow, focusing only on the hands, the component, and the projected diagram. The background should be a creamy blur (bokeh).""},""lighting"":{""type"":""Fluorescent Shop Light and Holographic Glow"",""description"":""Cool, bright, uniform white light from above, contrasted by the warm, directional glow of the yellow/orange hologram.""},""color"":{""palette"":""Greys, deep reds, metallic silver, and the neon yellow of the graphic.""}}}",Image Generation / Technical Workshop Scene
"{""setting"":""Upscale, dimly lit private lounge or cocktail bar. Background elements should include blurred, warm, golden lights (bokeh), leather and dark wood textures, and reflective glass/mirror surfaces."",""seating"":""The couple is seated on a plush, dark leather or velvet sofa. The man is seated upright, facing the woman. The woman is angled towards the viewer and leaning into the man, her legs crossed at the ankle, showcasing high-heel stilettos.""}",Image Generation / Intimate Couple Lounge Scene
"{""prompt"":""A hyper ultra-realistic portrait of a young woman with short messy black hair and a soft short-haired look matching the reference, smiling confidently with her arms crossed, wearing a teal long-sleeve crew-neck shirt. Dramatic red rim lighting from the right and cool blue fill light from the left, against a pure black studio background. Three-quarter view, looking slightly up, cinematic portrait photography. Use the provided reference image for the face — do not change the face."",""reference_face"":""use_reference_image"",""style"":""cinematic, ultra-realistic, dramatic lighting"",""lighting"":{""rim_light"":""red from the right"",""fill_light"":""cool blue from the left""},""camera"":{""view"":""three-quarter"",""angle"":""slightly upward""},""signature"":""Shreya Yadav""}",Image Generation / Cinematic Portrait
