prompts,Metadata / Instruction
"Ultra-realistic cinematic portrait of a young woman, standing outdoors in a quiet after-evening blue hour. She has a gentle, pensive expression, looking off to the side. She is wearing stylish, light-rimmed circular glasses, a black turtleneck or fitted shirt, and a dark grey charcoal overcoat/jacket draped over her shoulders. A black smartwatch is visible on her left wrist, and her hands are clasped gently in front of her. She has textured, dark, wavy hair, styled partly up with some strands framing her face.
​Shot on a DSLR with an 85mm lens (or similar) for a shallow depth of field. Features HDR lighting with a strong, warm, orange-toned dapple backlight illuminating her hair and shoulder, contrasting sharply with the soft blue ambient light of the background. The scene includes dreamy, dramatic bokeh from distant lights, a subtle lens flare (a faint horizontal light streak near the left), high-contrast shadows, and a subtle atmospheric haze. The overall mood is poetic, dreamy, and romantic, with an ultra-clean, professional Photoshop-quality finish.",Image Generation / Cinematic Outdoor Portrait
"A young man with dark hair (keep the exact face and skin tone with sharp features) wearing a black hoodie sits in a rustic wooden booth, staring intensely at the camera with one hand supporting his chin and the other reaching forward as if performing telekinesis. Dozens of playing cards float around him in mid-air, captured in dynamic slow motion with subtle motion blur. The background features vertical wooden panels and a framed photo of a man playing cards",Image Generation / Magical Realism Portrait
"Create a drawing from this photo without changing the face.
Subject: Woman with ash brown hair, wolf cut. Wearing the outfit shown in the second image. White sneakers. Small, cat-eye sunglasses.
Position: The subject is sitting leaning against the threshold of a building entrance, with her legs stretched loosely in front of her. She rests her left elbow on her knee and supports her head with it. Her right hand is tucked into her pants pocket. Her expression is defiant, as she sticks out her tongue.
Angle & Distortion: The image is taken from a high angle, looking down at the seated subject, with the focus on her and her legs extending into the foreground. There is slight fish-eye or wide-angle lens distortion still visible in the lower corners of the frame.
Background: The subject is sitting on the threshold of a wooden entrance with vertical panels. Behind her is a cylindrical metal trash can. Dark gray walls, a white outdoor-style metal chair, and a potted plant.  The subject is sitting on a raised gray terrace floor, with her legs stretched out onto an area covered with gray gravel and metal grating to the left.
Lighting: Dark. The only light source is the flash of a 35mm analog camera shooting in the darkness. The flash is focused on the subject",Image Generation / Stylized Drawing from Photo
"Create a clean 45° isometric miniature diorama scene of [LOCATION], designed like a premium weather-card. Use high-fidelity 3D modeling, soft PBR materials, crisp global illumination, and a minimal solid background. Display the location name at the top with modern, bold typography, plus a weather icon, temperature, and date. Make the environment packed with small storytelling details that match the climate and vibe of the place, atmospheric effects, structures, natural elements, tiny props, and subtle shadows. Keep everything polished, coherent, and visually satisfying.",3D Rendering / Isometric Miniature Diorama
"Hyper-detailed, ultra-realistic illustration of an owl emerging from dense jungle foliage. The owl has glowing amber eyes, sharp intricate feather textures, and an intense forward gaze. Surrounding leaves are stylized in deep blacks and greys with bright orange accents that create a dramatic contrast. Close-up composition with the owl partially hidden between the foliage. Cinematic lighting, high contrast shadows, surreal orange–black color palette, moody atmosphere, fantasy wildlife art, extremely sharp details, 8K quality.",Illustration / Fantasy Wildlife
"A cozy indoor portrait of a young woman sitting on a sofa, wearing a loose, off-shoulder knitted sweater. She is quietly reading a book while blowing a small pink bubble with chewing gum. Her hair is tied in a relaxed messy bun, and a warm lamp in the background casts soft golden light, creating a gentle, intimate evening atmosphere. The mood is calm, natural, and candid, with shallow depth of field and soft shadows.",Image Generation / Cozy Indoor Portrait
"Create a realistic portrait image of a young woman (face 100% identical to the original attached image) Asian fashion of a slender young woman. She wears a thick green knit crop top with a Christmas reindeer toy attached, white jeans, standing in front of a Christmas candy shop with various Christmas treats such as Santa cake, bear donuts with hats, reindeer, arranged beautifully on wooden shelves and wiker baskets, decorated with Christmas decorations, pine tree with lights, natural light shining on her face and outfit, bright and warm, soft atmosphere, face with red tone makeup, red lips, good figure, beautiful waist, and clear proportions..",Image Generation / Festive Fashion Portrait
"Act as an expert photo restorer and process this image of [INSERT DESCRIPTION OF PHOTO] to a pristine 4K resolution. Aggressively remove all physical defects including scratches, dust specs, fold lines, and tear marks while simultaneously performing deep noise reduction. Correct color fading, neutralize yellow/sepia aging tints, and balance the exposure to look like modern high-dynamic-range photography. Critically enhance facial details by sharpening eyes and reconstructing skin texture without over-smoothing or creating a 'waxy' plastic effect, ensuring the final output is photorealistic, high-fidelity, and archival quality.",Image Editing / Photo Restoration
"Using my reference image. DO NOT CHANGE THE FACE. keep all facial features exactly the same. Create a highly detailed, festive nighttime scene at a Disney theme park during Christmas season. A young woman stands in the foreground, centered in the frame. She wears red fluffy earmuffs, a green fuzzy jacket embroidered with multiple smiling Mickey Mouse faces, a black crop top revealing a subtle navel piercing, high-waisted light blue jeans with a black belt, and carries a small red crossbody purse with gold hardware. In her left hand, she holds a plush Minnie Mouse doll dressed in a red Santa outfit with white trim and a green scarf, while making a playful peace sign near her face and puckering her lips in a cute kiss pose. A delicate gold necklace with a small pendant adorns her neck. The shot is an eye-level, straight-on medium portrait from the waist up, captured with a Fujifilm professional camera, using shallow depth of field to keep her in perfect focus while softly blurring the background. Behind her, a classic green lamppost wrapped in Christmas garland, twinkling warm white lights, red ribbons, gold ornaments, and red baubles decorates the scene. To the right, a glowing carousel with a white canopy and colorful string lights illuminates the festive night. The ground is paved brick, and distant bokeh lights from park attractions create a magical atmosphere. The overall mood is joyful, whimsical, and full of holiday spirit — vibrant colors, warm golden lighting, cinematic composition, photorealistic style, and 8K ultra-HD quality.",Image Generation / Festive Theme Park Portrait
"Ultra-realistic scene in a modern corporate conference room, 16:9. A large wall-mounted glass board is the focal point, covered in deep cobalt-blue marker in natural human handwriting. A presenter stands beside the board, mid-gesture, explaining the content to a group of professionals seated around a sleek conference table, all facing the board and paying close attention.

Text and diagrams are clearly handwritten: bold all-caps headings, slightly imperfect; italic subheadings; smaller, neat notes; arrows and icons with slight wobble and pressure variation. The blue ink looks convincingly real with darker edges, subtle streaks, glossy reflections, and tiny smudges at stroke ends.

Topic on the board: THE FUTURE OF AI IN HEALTHCARE, divided into three hand-drawn clusters (DIAGNOSTICS, TREATMENT, PATIENT CARE) with sketched icons, a rough bar chart, and a circular mini-timeline. Glass shows reflections of room lights and attendees, background with windows and city hints, cinematic, premium office lighting, 8K",Image Generation / Corporate Office Scene
"Generate a hyperrealistic realistic-anime portrait of a female character 
standing in a completely black background.
Lighting: use a **narrow beam spotlight** focused only on the center of the face. 
The edges of the light must be sharp and dramatic. 
All areas outside the spotlight should fall quickly into deep darkness 
(high falloff shadow), almost blending into the black background. 
Not soft lighting.
Hair: long dark hair with some strands falling over the face. The lower parts of the hair should fade into the shadows.
Pose: one hand raised gently to the lips in a shy, hesitant gesture. 
Eyes looking directly at the camera with a mysterious mood.
Clothing: black long-sleeve knit sweater; 
the sweater and body should mostly disappear into the darkness with minimal detail.
Overall tone: dark, moody, dramatic, mysterious. 
High-contrast only in the lit portion of the face. 
Everything outside the spotlight should be nearly invisible.",Image Generation / Dramatic Anime-style Portrait
"3D chibi-style miniature concept store of {Brand Name}, creatively designed with an exterior inspired by the brand's most iconic product or packaging (such as a giant {brand's core product, e.g., chicken bucket/hamburger/donut/roast duck}). The store features two floors with large glass windows clearly showcasing the cozy and finely decorated interior: {brand's primary color}-themed decor, warm lighting, and busy staff dressed in outfits matching the brand. Adorable tiny figures stroll or sit along the street, surrounded by benches, street lamps, and potted plants, creating a charming urban scene. Rendered in a miniature cityscape style using Cinema 4D, with a blind-box toy aesthetic, rich in details and realism, and bathed in soft lighting that evokes a relaxing afternoon atmosphere. --ar 2:3

Brand name: Starbucks",3D Rendering / Chibi-style Brand Store
"A close-up, euphoric concert photograph taken from the front row captures a world-famous pop icon in her 30s radiant on a glittering arena stage. She has wavy blonde hair, red lipstick, and is wearing a sparkling silver sequined bodysuit, passionately playing a rhinestone-covered acoustic guitar. Stage lights create flares and reflect in her eyes as confetti rains down around her. The background is filled with multi-colored strobes, smoke, pyrotechnics, and the depth of thousands of adoring fans celebrating.",Image Generation / Concert Photography
"Create a portrait From a 100% reference image, it is a close-up of a movie. A modern young woman is in an art cafe, holding a large bouquet of white flowers. A beautiful woman in a Korean fashion style outfit, a white top with puff sleeves and a black pleated A-line long skirt, fits her figure. Cleavage is hide. The natural light is soft yellow. The background is a dark and dim cafe, showing white round light balls and a distinct film grain. She has long black ""butterfly cut"" hair, layered to fit her face and with a lot of volume, slightly messy, with some strands obscuring some of her face. The camera is a Fuji film Pro 400H with an old lens filter. The natural light is soft yellow.",Image Generation / Fashion Portrait in Cafe
"Edit this photo without changing her face 100% to reveal a woman with an oval face and ideal body, not skinny. 

She wears a ivory roundneck fitted top with channel emblem in the center, giving a chic look, as the outer is a oversize jeans jacket with subtle  channel as well. 
She wore a gold ring from the brand Channel and a gold stack necklace styled with long Channel pearls. She also wore nude-and-pink nail art with ballerina nails, and small Channel earing. 

She has clear white skin with pinkish tone blush on her cheeks. 
Her skin looks healthy and glowing.
She has light blue eyes with a thin liner, curly and defined eyelashes (wispy/manga lashes), and feathery eyebrows.
Focus on a natural blush to create a subtle rosy look.
Soft pink gloss applied in the center of her lips (with a slight gradient), giving the impression of healthy, plump lips.
Her shiny, healthy ash brown waist-length hair, was thick and loose curls giving effortless look, the hair is styled high ponytails with curtain bangs, with the wind blowing through her hair.

A selfie (from the waist up). Her head is tilted slightly to the side (head tilt), creating a chic yet elegant look. She gaze directly into the camera.
This photo exudes a feminine and sensual yet cool aura.
The background is slightly blurred (out of focus), She is in the driver seat in the tesla car white expensive looking interior with sunroof showing a gloomy morning with a natural sunlight accross the face 

Sensual an sultry pose. Staring intently at the camera,",Image Editing / Fashion Selfie Enhancement
"Create a portrait of a teenage girl with long, soft, wavy dark brown hair, with a Sanrio Kuromi hair clip. She is wearing a dark grey spaghetti strap crop top, with a silver chain waist belt with dangling moon charms to add to her allure, and a clear, shapely waistline. Her skin is fair with a rosy glow, smooth, and slightly pink toned. Her eyes are bright, with blue-grey contact .lenseslenses. She has light pink makeup, long eyelashes, thin andis taken with a Canon IXY/IXUS camera, with a strong flash on the front of her face, creating a Y2K Digital Aesthetic / Cyber Ulzzang / Retro Japan–Korea look (a reflection in the mirror shows another woman's hand taking the photo of the model). The flash is bright white, making her skin look radiant, shiny, and bright with high contrast, and a slight cool blue tone, giving a mysterious yet sharp atmosphere, similar to early 2000s digital photographs Please keep my face 100% the same, do not Change any facial details",Image Generation / Y2K Style Portrait with Accessories
"A small garden bench nestled among tall, rust-colored hollyhocks and fallen leaves. A curious badger sniffs around the base of the bench, while warm afternoon light filters through the golden foliage. Rendered in soft watercolor style with rich autumn tones, gentle textures, and a calm, heartwarming mood.",Illustration / Watercolor Garden Scene
"[Project_Settings]
Title=Studio_Portrait_Sequin_Dress
Resolution_Width=1200
Resolution_Height=1200
Aspect_Ratio=1:1

[Subject]
Description=Stunning woman
Body_Type=Slim, curvy hourglass figure
Pose=Standing, one hand on hip, one hand relaxed, leaning slightly forward
Expression=Seductive, confident
Hair=Long dark hair, falling naturally around shoulders

[Facial_Features]
Eyes=Sultry smoky makeup
Lips=Glossy, slightly parted
Skin=Ultra-detailed texture

[Attire]
Dress_Style=Deep-V halter dress
Material=Shimmering black sequins
Fit=Tight, body-hugging

[Environment_and_Lighting]
Location=Dark studio
Lighting_Style=Dramatic, cool-toned
Highlights=Soft, highlighting skin
Atmosphere=Sensual, intimate

[Render_Quality]
Style=Fashion editorial photography
Quality_Tags=Lifelike lighting, 8k realism, ultra-detailed",3D Rendering / Fashion Studio Portrait
"infographic for a fighting game showing the complete moveset of an AI-powered fighter inspired by the man in the photo. Each panel shows a stylized action pose with move names like “Data Slice”, “Neural Burst”, “Pixel Uppercut”, “Prompt Overdrive”. Comic-style layout, neon cyan and magenta highlights, black digital background. Top title: “MOVELIST  : The AI Master”. Add dynamic holographic energy lines, circuit patterns, and clean arrow/button inputs for each attack: ↓↘→+P, →→+K, ↓↙←+P, etc. Style inspired by arcade fighting-game manuals and anime action posters.",Infographic Generation / Fighting Game Moveset
"A stylish young woman standing against a plain solid wall, dressed in a tailored black striped waistcoat and matching trousers, hands in pockets. She has voluminous wavy brown hair styled in soft curls, gently blown by the wind. Dramatic deep shadows fall across the wall, creating a mysterious cinematic look. The photo has a grainy retro film effect, with high contrast lighting, romantic 90s aesthetic, Pinterest-inspired editorial fashion shoot, moody yet glamorous atmosphere",Image Generation / Editorial Fashion Portrait
"Create an Ultra-realistic 8k portrait, standing against a deep red background. She has sharp facial features, messy styled dark hair, and a confident, slightly intense expression. She is wearing a black suits jacket over a white shirt with the collar slightly open paired with a net red stripped tie]- Unlimited Free :Dramatic red and black lighting highlights the contour of her face, jawline, and neck creating a cinematic powerful and moody atmosphere. Please do not alter facial features and leave head positioning as is.",Image Generation / Ultra-realistic Portrait with Dramatic Lighting
"Create this photo into a photorealistic image with a strong nostalgic and melancholic atmosphere, without altering the face in any way (maintain 100% likeness to the reference photo). The subject is a young Asian woman with an ideal figure, styled with a distinctly 1980s aesthetic. She is sitting casually on a floral-patterned rattan chair. She wears a mustard-yellow blouse with fine checkered patterns and dramatic balloon sleeves that give a glamorous, vintage feel. She pairs it with a black satin skirt featuring delicate pleated textures and raised floral motifs. Her thick black hair is left down—naturally wavy, long, and voluminous in true 80s fashion. Her bangs are styled transparently and swept to the right. She sits in a relaxed, slightly reclined position, leaning a bit to the right. Her legs are crossed, and her left hand rests on her thigh, adding a candid, unposed impression. The background is an old-fashioned living room with a minimalist arrangement: aged cream walls decorated with a landscape-style painting typical of the 80s and several family photos; vintage items such as a CRT television, a rattan table with a white ceramic vase of flowers, and an old-school biscuit tin. The floor is covered with yellowish-brown ceramic tiles in a retro pattern. The moment is captured with a 1980s analog point-and-shoot camera, producing warm-faded analog tones with internal flash: strong highlights on the face, soft contrast, dense/sharp subject shadows, and a darker background—especially around the frame edges. The image has soft sharpness, natural film grain, light vignetting, and slight overexposure on the clothing. Low contrast with slightly muted saturation. Fine grain indicates it’s a scanned analog film photo or a retro-style filter. Overall mood: vintage glam, rebellious, artsy, and casual. Add old-photo aging effects: a bluish-magenta color fade, thin white lines along the edges typical of old film, subtle horizontal scratches like worn folded paper, a faint orange burn effect around the borders, and handwritten cursive text made with a faded black marker: Nov 1988.",Image Editing / Nostalgic 1980s Photorealistic Portrait
"Chiaroscuro is an artistic technique using strong light-dark contrasts to create depth and volume in two-dimensional works. The Italian term means “light-dark.” While used throughout art history, it became especially prominent during the Renaissance and Baroque periods in works by Caravaggio, Rembrandt, and Leonardo da Vinci, who employed it for dramatic effect and atmosphere.",Text Explanation / Art Technique Description
"Design a high-fashion magazine cover from the year 2099 titled ""VOGUE NEON"". The model is a gender-fluid humanoid with bioluminescent skin, wearing an outfit made of programmable fabric that shifts patterns. The background is a clean, glossy white studio with floating AR interface elements. Use sleek typography, QR-style elements, and a minimal layout. Add fake barcodes and futuristic headlines.",Image Generation / Futuristic Fashion Magazine Cover
"Show the behind the scenes view of this movie set of this exact scene. Keeping the characters in position, but showing the technical equipment, lighting, and ambient motion of the crew. Denoise and crisp the image.",Image Editing / Movie Set Behind-the-Scenes
"Use the uploaded photo as the face reference for both the large painted portrait in the background and the full-body woman in the foreground. Create a stylish cinematic scene with a woman sitting confidently on the table in her personal luxury office room. She wears a loose pastel-toned dress or an oversized soft-colored suit, blending elegance and subtle boldnessThe background features a huge artistic portrait of the same woman, painted with expressive pastel brushstrokes — pink, peach, beige — dynamic, sweeping strokes that create movement. Soft daylight, fashion-editorial mood, clean composition..",Image Generation / Cinematic Office Portrait
"A romantic couple enjoys a scenic coastal drive on a vintage scooter during sunset. The man, dressed in a light shirt and dark pants, confidently steers the scooter, while the woman, in a flowing dress and sunglasses, rides behind him, her hair gently blowing in the wind. The warm orange glow of the setting sun illuminates the sky and reflects on the calm sea, creating a serene backdrop for the winding road. The image captures a sense of freedom, adventure, and idyllic romance against a beautiful natural landscape, with the golden hour light enhancing the overall nostalgic and dreamlike atmosphere.",Image Generation / Romantic Coastal Scene
"Prompt for Gemini nano banana pro:

Using my reference image. DO NOT CHANGE THE FACE — keep all facial features exactly the same. Create a highly detailed, festive nighttime scene at a Disney theme park during Christmas season. A young woman stands in the foreground, centered in the frame. She wears red fluffy earmuffs, a green fuzzy jacket embroidered with multiple smiling Mickey Mouse faces, a black crop top revealing a subtle navel piercing, high-waisted light blue jeans with a black belt, and carries a small red crossbody purse with gold hardware. In her left hand, she holds a plush Minnie Mouse doll dressed in a red Santa outfit with white trim and a green scarf, while making a playful peace sign near her face and puckering her lips in a cute kiss pose. A delicate gold necklace with a small pendant adorns her neck.

The shot is an eye-level, straight-on medium portrait from the waist up, captured with a Fujifilm professional camera, using shallow depth of field to keep her in perfect focus while softly blurring the background. Behind her, a classic green lamppost wrapped in Christmas garland, twinkling warm white lights, red ribbons, gold ornaments, and red baubles decorates the scene. To the right, a glowing carousel with a white canopy and colorful string lights illuminates the festive night. The ground is paved brick, and distant bokeh lights from park attractions create a magical atmosphere.

The overall mood is joyful, whimsical, and full of holiday spirit — vibrant colors, warm golden lighting, cinematic composition, photorealistic style, and 8K ultra-HD quality.",Image Generation / Festive Theme Park Portrait
"“A full-body portrait of a stunning white-skinned young woman posing confidently on a luxury beach-club dance floor at night. She has a bold, hot, high-energy vibe as she stands in a dynamic dance pose—one leg slightly forward, hips angled, body arched naturally, and one hand lifted above her head while the other rests on her waist, giving a sensual but classy silhouette.
She wears a sleek, body-hugging nightlife outfit (silky mini dress or stylish glitter top with fitted skirt), reflecting neon lights beautifully. Her fair skin glows under vibrant pink, purple, and electric-blue club lighting. Her long wavy hair moves slightly with the breeze and dance motion, creating a lively, energetic mood.The dance floor is surrounded by neon strips, glowing palm trees, laser lights, soft bokeh highlights, and silhouettes of stylish party-goers blurred in the background. The ocean waves reflect the colorful lights behind her.
Cinematic nightlife atmosphere, ultra-sharp details, glossy highlights on skin, dynamic shadows, and a premium editorial fashion vibe with a hot, confident, nightlife pose.”",Image Generation / Nightlife Dance Floor Portrait
"A mysterious woman stands alone in a vast golden desert at sunset, dressed in flowing dark robes embroidered with subtle patterns. Her headscarf and veil trail dramatically in the wind, framing her intense, captivating gaze. Soft warm light highlights the dunes behind her, creating long shadows and a cinematic atmosphere. The scene feels ancient, powerful, and serene, blending elegance with the harsh beauty of the desert. Hyper-realistic, high-detail, 4K portrait with rich textures and natural lighting.",Image Generation / Desert Portrait with Cinematic Lighting
"A professional, high-resolution profile photo, maintaining the exact facial structure, identity, and key features of the person in the input image. The subject is framed from the chest up, with ample headroom. The person looks directly at the camera. They are styled for a professional photo studio shoot, wearing a premium smart casual blazer in a subtle charcoal gray. The background is a solid '#562226' neutral studio color. Shot from a high angle with bright and airy soft, diffused studio lighting, gently illuminating the face and creating a subtle catchlight in the eyes, conveying a sense of clarity. Captured on an 85mm f/1.8 lens with a shallow depth of field, exquisite focus on the eyes, and beautiful, soft bokeh. Observe crisp detail on the fabric texture of the blazer, individual strands of hair, and natural, realistic skin texture. The atmosphere exudes confidence, professionalism, and approachability. Clean and bright cinematic color grading with subtle warmth and balanced tones, ensuring a polished and contemporary feel.",Image Generation / Professional Portrait
"Soft-lit but dark 90s portrait, Dutch angle, a 23-year-old woman standing under dense trees, lifting her camera toward a dim break in the canopy. Oversized flannel layered with a dark jacket, hair falling forward in shadows. Muted warm highlights against deep cool greens, heavy grain in low light, quiet and moody forest atmosphere.keep 100% same face expression with 4k resolution",Image Generation / Moody 90s Portrait
"A minimal sunlit wall. Sharp, elongated shadow of a human hand holding the exact product from the uploaded image. Recreate the product’s silhouette precisely in the shadow, accurate bottle shape, cap, edges, proportions. Project the product’s real label text (taken from the uploaded image) onto the shadow in clean, crisp white typography, perfectly matching placement, spacing, and size.Warm afternoon sunlight, soft grain, smooth beige wall texture. Ultra-minimal, high-end skincare aesthetic. No extra objects, no color except the natural wall tone. Artistic shadow-play composition, subtle dreamy atmosphere, natural imperfections on the wall, gently diffused light",Image Generation / Artistic Product Shadow Composition
"A rugged, intense close-up portrait of a middle-aged man with a textured beard and slightly long, messy hair falling across his face. He wears dark sunglasses with green-tinted lenses that reflect subtle light, enhancing the mysterious, cinematic mood. The lighting is dramatic and low-key, highlighting the deep lines on his skin, the texture of his beard, and the contours of his face. His expression is serious and brooding, with a shadowy background that adds depth and grit. Hyper-realistic, ultra-detailed, 8K quality with strong contrast and moody tones.",Image Generation / Rugged Cinematic Portrait
"A vintage-style cinematic close-up portrait of a young Asian woman. She has short, wavy black hair in a messy bob. She is wearing an ivory crochet or macramé camisole top with fringe hanging down her chest.

The woman is looking at the camera. The lighting is dramatic and harsh, creating dark, artistic shadows across her face, neck, and shoulders.

The background appears to be a wall decorated with a colorful Japanese-style painting or poster featuring a large white lucky cat (Maneki-neko) and a pattern of red autumn maple leaves. The overall image has a film grain, rich yet slightly faded color saturation, a 90s aesthetic or the style of a Wong Kar-wai film.",Image Generation / Vintage Cinematic Portrait
"Reference image: uploaded photo Face: keep the same face from the reference image. Pose: model standing with left arm resting on railing, holding cup of coffee, body slightly leaned to side, looking away. Clothes: fluffy white faux-fur coat, tight black leggings.

Accessories:transparent rectangular sunglasses.

Background: snowy mountain terrace, heavy snow on railings, forest in background. Lighting: cold daylight softened by fog, natural reflections on glass. Camera: 50mm f/2.0, natural cinematic winter tone. Mood: luxury après-ski, calm sophistication. Format:
portrait 2:3.",Image Generation / Winter Luxury Fashion Portrait
"a woman sitting gracefully on a moonlit beach, wearing a flowing green off-the-shoulder gown with a plunging neckline and thin straps. She has long brown wavy hair and red lipstick, accessorized with pearl earrings. In front of her are two antique-style brass lanterns with glowing candles inside one larger and one smaller surrounded by scattered pink roses on the sand. Behind her, the sea reflects moonlight under a dark blue night sky filled with stars and a large luminous full moon hovering above the horizon",Image Generation / Romantic Night Beach Scene
"[Prompt]
type = image_generation
style = ultra-realistic

[Setting]
type = studio portrait
background = minimalist studio background
props = a single metal chair

[Subject]
description = A young woman
mood = Confident, elegant, intimate

[https://t.co/CUgxuAXsiJ]
color = black
style = long, wavy, tousled, tied in a high, messy ponytail

[Appearance.Attire]
dress = elegant black dress with thin straps and a low back
footwear = thigh-high patent leather boots

[PoseAndComposition]
position = Sitting sideways in the metal chair
legs = Legs crossed
hands = Slightly raised
gaze = Looking intimately at the camera
framing = Full-body or three-quarter shot

[Lighting]
description = Professional studio lighting
quality = Soft yet defined, creating subtle shadows that enhance her features and the texture of the dress and boots",Image Generation / Fashion Studio Portrait
"Create a fashion editorial interpretation of the image provided, maintaining the nano-level of accuracy of all key elements. Maintain an intellectual understanding of the scene: leave the girl's initial pose, the soft movement of her hair, the direction of her gaze and the natural connection with the horse. Keep the winter landscape, but strengthen the shooting atmosphere so that it corresponds to the aesthetics of elite fashion magazines.",Image Generation / Fashion Editorial Landscape
